,Doc,Emotions,Topics
429,N429,sadness | neutral,technology | environment | politics | crime | health | entertainment
430,N430,fear | sadness | neutral,technology | environment | politics | health | entertainment | money
431,N431,disgust | neutral,technology | politics | environment | crime | health | entertainment
432,N432,sadness | neutral,sports | technology | crime | environment | health | entertainment | education | money
433,N433,disgust | fear | sadness | surprise | neutral | anger,sports | technology | crime | environment | health | entertainment
434,N434,fear | sadness | joy | neutral,technology | environment | crime | health | entertainment
435,N435,disgust | anger | neutral,environment | entertainment | crime | health
436,N436,anger | sadness | surprise | neutral,environment | entertainment | crime | health
437,N437,anger | fear | joy | neutral,sports | technology | environment | crime | health | entertainment
438,N438,disgust | sadness | neutral,technology | crime | environment | health | entertainment
439,N439,disgust | sadness | neutral,crime | environment | health | entertainment | education
440,N440,disgust | sadness | neutral,environment | crime | health | entertainment | money
441,N441,anger | neutral,sports | technology | environment | crime | health | entertainment
442,N442,sadness | neutral,technology | environment | crime | health | entertainment
443,N443,anger | sadness | neutral,sports | technology | environment | crime | health | entertainment
444,N444,anger | sadness | joy | neutral,sports | technology | environment | health | entertainment | education
445,N445,anger | sadness | neutral,environment | entertainment | technology | health
446,N446,fear | sadness | surprise | neutral,sports | technology | environment | crime | health | entertainment | education
447,N447,anger | sadness | neutral,crime | environment | politics | health | entertainment | education
448,N448,sadness | neutral,technology | environment | politics | crime | health | entertainment
449,N449,anger | sadness | neutral,crime | environment | politics | health | entertainment | money
450,N450,disgust | sadness | neutral,environment | entertainment | crime | health
451,N451,disgust | sadness | neutral,sports | technology | environment | crime | health | entertainment
452,N452,disgust | sadness | joy | neutral,environment | entertainment | crime | health
453,N453,anger | fear | joy | neutral,sports | environment | crime | health | entertainment | money
454,N454,disgust | sadness | neutral,environment | entertainment | crime | health
455,N455,sadness | neutral,technology | crime | politics | environment | health
456,N456,disgust | sadness | neutral,sports | environment | crime | health | entertainment | money
457,N457,sadness | neutral,sports | technology | crime | environment | health | entertainment
458,N458,sadness | neutral,sports | technology | environment | health | entertainment
459,N459,fear | neutral,technology | environment | crime | health | entertainment
460,N460,disgust | anger | sadness | neutral,technology | environment | crime | health | entertainment | education
461,N461,fear | sadness | surprise | neutral | anger,technology | environment | crime | health | entertainment
462,N462,disgust | anger | neutral,sports | environment | crime | politics | health | entertainment | education
463,N463,anger | neutral,sports | technology | environment | politics | health | entertainment
464,N464,disgust | sadness | neutral,environment | health | entertainment | education | money
465,N465,fear | sadness | neutral | surprise,sports | technology | crime | environment | entertainment
466,N466,disgust | neutral,environment | entertainment | money | crime
467,N467,anger | sadness | neutral,sports | technology | environment | crime | entertainment
468,N468,anger | sadness | fear | neutral,environment | entertainment | crime | health
469,N469,anger | fear | neutral,environment | entertainment | politics | money
470,N470,disgust | anger | sadness | neutral,sports | environment | entertainment | education | money
471,N471,anger | sadness | neutral,sports | technology | crime | environment | entertainment
472,N472,sadness | neutral,environment | entertainment | technology
473,N473,neutral,technology | politics | crime | environment | entertainment | money
474,N474,disgust | fear | neutral,environment | crime | health | entertainment | money
475,N475,sadness | neutral,environment | entertainment | politics | technology
476,N476,disgust | sadness | joy | neutral,environment | health | entertainment | education | money
477,N477,anger | sadness | neutral,technology | environment | crime | health | entertainment | money
478,N478,anger | fear | neutral,environment | entertainment | money | crime
479,N479,neutral,environment | crime | health | entertainment | money
480,N480,anger | sadness | neutral,technology | environment | crime | health | entertainment
481,N481,fear | neutral,environment | crime | health | entertainment | money
482,N482,disgust | anger | sadness | neutral,environment | entertainment | crime | health
483,N483,sadness | neutral,sports | crime | environment | entertainment | money
484,N484,disgust | anger | sadness | neutral,technology | environment | politics | crime | health | entertainment | money
485,N485,sadness | neutral,technology | environment | crime | health | entertainment
486,N486,anger | sadness | joy | neutral,crime | politics | environment | entertainment | money
487,N487,anger | joy | neutral,technology | environment | crime | health | entertainment | money
488,N488,disgust | neutral,sports | crime | environment | health | entertainment | money
489,N489,anger | fear | sadness | neutral,technology | crime | environment | entertainment | education | money
490,N490,fear | sadness | surprise | neutral,sports | technology | crime | environment | health | entertainment | education
491,N491,neutral,technology | environment | crime | health | entertainment | money
492,N492,disgust | sadness | neutral,technology | crime | environment | health | entertainment | money
493,N493,disgust | fear | neutral,technology | environment | crime | health | entertainment | education | money
494,N494,neutral,technology | crime | environment | health | entertainment
495,N495,disgust | anger | neutral,technology | environment | health | entertainment | money
496,N496,neutral,technology | environment | politics | health | entertainment | education
497,N497,surprise | neutral,environment | entertainment | money | crime
498,N498,anger | neutral,crime | entertainment | environment
499,N499,neutral,crime | entertainment | technology | environment
500,N500,neutral,environment | entertainment | crime
501,N501,neutral,environment | entertainment | health
502,N502,anger | neutral,technology | environment | crime | entertainment | education
503,N503,neutral,sports | technology | environment | health | entertainment | education
504,N504,sadness | neutral,sports | politics | crime | environment | entertainment
505,N505,neutral,technology | environment | crime | entertainment | money
506,N506,neutral,sports | technology | environment | health | entertainment | money
507,N507,disgust | sadness | surprise | neutral,technology | environment | crime | politics | health | entertainment | money
508,N508,anger | neutral,environment | entertainment
509,N509,surprise | joy | neutral,sports | technology | crime | environment | entertainment | education | money
510,N510,anger | neutral,sports | crime | environment | entertainment | money
511,N511,surprise | neutral,environment | entertainment | technology
512,N512,anger | sadness | surprise | neutral,environment | entertainment | technology | crime
513,N513,disgust | neutral,sports | environment | crime | entertainment | money
514,N514,neutral,environment | entertainment
515,N515,fear | neutral,environment | entertainment | crime | technology
516,N516,anger | surprise | neutral,education | entertainment | money | environment
517,N517,neutral,environment | entertainment | money
518,N518,anger | sadness | neutral,technology | environment | health | entertainment | money
519,N519,surprise | neutral,sports | environment | health | entertainment | money
520,N520,disgust | anger | fear | neutral,technology | environment | crime | entertainment | money
521,N521,joy | neutral,sports | technology | environment | entertainment | money
522,N522,neutral,technology | environment | politics | health | entertainment | education | money
523,N523,sadness | joy | neutral,education | entertainment | money | environment
524,N524,fear | neutral,environment | entertainment | money | crime
525,N525,sadness | neutral,technology | environment | politics | entertainment | education | money
526,N526,sadness | neutral,technology | environment | politics | health | entertainment
527,N527,sadness | neutral,sports | technology | environment | health | entertainment | money
528,N528,disgust | fear | sadness | joy | neutral,crime | entertainment | money | environment
529,N529,disgust | fear | neutral,technology | environment | politics | health | entertainment | money
530,N530,anger | fear | neutral,technology | environment | health | entertainment | money
531,N531,anger | neutral,sports | environment | politics | crime | health | entertainment | money
532,N532,anger | neutral,environment | politics | crime | health | entertainment
533,N533,disgust | sadness | neutral,technology | environment | politics | health | entertainment | education | money
534,N534,neutral,sports | technology | environment | health | entertainment | money
535,N535,anger | fear | neutral,environment | entertainment | money | health
536,N536,disgust | fear | sadness | joy | neutral,sports | technology | environment | politics | health | entertainment | education | money
537,N537,disgust | sadness | joy | neutral | anger,technology | environment | crime | health | entertainment | money
538,N538,anger | sadness | neutral,technology | crime | environment | health | entertainment
539,N539,sadness | joy | neutral,sports | technology | environment | crime | entertainment | education | money
540,N540,fear | neutral,environment | health | entertainment | education | money
541,N541,joy | neutral,technology | crime | environment | entertainment | money
542,N542,disgust | sadness | neutral,sports | technology | environment | politics | health | entertainment | education | money
543,N543,anger | sadness | neutral,technology | environment | crime | entertainment | education
544,N544,fear | neutral,technology | environment | entertainment | education | money
545,N545,surprise | neutral,technology | crime | politics | environment | health | entertainment | money
546,N546,anger | fear | sadness | neutral,sports | technology | environment | health | entertainment | money
547,N547,disgust | anger | neutral,sports | technology | environment | health | entertainment | education | money
548,N548,fear | sadness | neutral,sports | technology | environment | crime | health | entertainment | education | money
549,N549,anger | neutral,sports | technology | environment | crime | politics | health | entertainment | money
550,N550,sadness | surprise | neutral,sports | technology | crime | environment | entertainment | money
551,N551,neutral,technology | environment | crime | politics | health | entertainment | money
552,N552,sadness | neutral,sports | technology | crime | environment | health | entertainment | money
553,N553,sadness | neutral,sports | technology | environment | crime | entertainment | money
554,N554,anger | surprise | neutral,technology | environment | politics | crime | health | entertainment
555,N555,anger | sadness | neutral,environment | politics | crime | health | entertainment
556,N556,sadness | surprise | neutral,technology | crime | environment | health | entertainment | money
557,N557,neutral,sports | technology | environment | crime | entertainment
558,N558,sadness | fear | neutral,technology | crime | environment | health | entertainment
559,N559,anger | surprise | neutral,technology | environment | politics | crime | health | entertainment
560,N560,anger | neutral,technology | environment | crime | politics | health | entertainment | money
561,N561,fear | neutral,technology | environment | politics | entertainment | education | money
562,N562,fear | neutral,politics | crime | environment | health | entertainment | education
563,N563,anger | neutral,sports | technology | crime | environment | health | entertainment | education
564,N564,disgust | fear | sadness | neutral,technology | environment | crime | health | entertainment | money
565,N565,fear | neutral,technology | environment | crime | health | entertainment | education
566,N566,sadness | neutral,environment | entertainment | money | crime
567,N567,surprise | neutral,technology | crime | environment | entertainment | money
568,N568,anger | neutral,technology | environment | crime | entertainment | money
569,N569,fear | neutral,technology | politics | environment | entertainment | education | money
570,N570,disgust | neutral,environment | entertainment | money | crime
571,N571,anger | surprise | neutral,sports | environment | politics | health | entertainment | education | money
572,N572,anger | neutral,sports | technology | crime | environment | health | entertainment | money
573,N573,neutral,sports | technology | environment | politics | health | entertainment | education | money
574,N574,neutral,technology | environment | politics | entertainment | education | money
575,N575,anger | sadness | surprise | neutral,sports | technology | environment | health | entertainment | education | money
576,N576,anger | sadness | neutral,environment | politics | crime | health | entertainment | money
577,N577,anger | sadness | neutral,technology | environment | politics | crime | entertainment
578,N578,neutral,environment | entertainment | money | crime
579,N579,fear | neutral,crime | environment | politics | entertainment | education | money
580,N580,disgust | fear | neutral,technology | crime | environment | politics | health | entertainment | education
581,N581,sadness | joy | neutral,sports | technology | environment | entertainment | education
582,N582,disgust | fear | sadness | surprise | joy | neutral | anger,technology | environment | crime | politics | health | entertainment | education | money
583,N583,fear | sadness | neutral,sports | technology | environment | crime | entertainment | education | money
584,N584,anger | neutral,sports | technology | crime | environment | entertainment
585,N585,disgust | surprise | neutral | joy,technology | environment | crime | entertainment | education
586,N586,sadness | neutral,sports | technology | environment | health | entertainment | education
587,N587,anger | sadness | surprise | neutral,technology | environment | crime | entertainment | education
588,N588,disgust | fear | neutral,crime | environment | health | entertainment | education | money
589,N589,anger | fear | sadness | neutral,sports | environment | politics | crime | entertainment | education
590,N590,disgust | sadness | neutral,sports | politics | environment | crime | health | entertainment | education
591,N591,sadness | neutral,environment | entertainment | money | education
592,N592,fear | joy | neutral,environment | entertainment | money | education
593,N593,anger | sadness | neutral,sports | crime | environment | health | entertainment | education
594,N594,disgust | anger | sadness | neutral,sports | technology | environment | health | entertainment | education
595,N595,fear | sadness | neutral,environment | crime | health | entertainment | education | money
596,N596,fear | sadness | neutral,environment | crime | entertainment | education | money
597,N597,fear | joy | neutral,technology | environment | crime | health | entertainment | education
598,N598,fear | neutral,sports | crime | environment | entertainment | education
599,N599,anger | fear | neutral,technology | crime | environment | health | entertainment | education
600,N600,disgust | sadness | fear | neutral,environment | crime | health | entertainment | education
601,N601,fear | sadness | surprise | joy | neutral,sports | environment | crime | health | entertainment | education
602,N602,anger | joy | neutral,crime | environment | health | entertainment | education
603,N603,sadness | joy | neutral,sports | technology | environment | health | entertainment | education
604,N604,sadness | neutral,sports | technology | crime | environment | health | entertainment | education | money
605,N605,disgust | fear | joy | neutral,technology | environment | crime | health | entertainment | education | money
606,N606,neutral,sports | technology | politics | environment | entertainment
607,N607,sadness | neutral,technology | environment | health | entertainment | education
608,N608,disgust | fear | surprise | neutral | anger,crime | environment | politics | health | entertainment | education
609,N609,neutral,environment | crime | health | entertainment | education
610,N610,disgust | sadness | neutral,crime | entertainment | education | environment
611,N611,anger | sadness | surprise | neutral,technology | environment | politics | crime | entertainment | education | money
612,N612,anger | sadness | neutral,technology | crime | environment | politics | entertainment | education
613,N613,disgust | sadness | surprise | neutral,technology | environment | crime | health | entertainment | education | money
614,N614,anger | fear | neutral,education | entertainment | environment
615,N615,fear | surprise | neutral,technology | environment | crime | entertainment | education | money
616,N616,sadness | neutral,technology | environment | health | entertainment | education | money
617,N617,fear | sadness | joy | surprise | neutral | anger,environment | crime | health | entertainment | education | money
618,N618,anger | surprise | neutral,sports | environment | crime | health | entertainment | money
619,N619,neutral,crime | environment | health | entertainment | education
620,N620,sadness | fear | neutral,technology | environment | crime | health | entertainment | education | money
621,N621,sadness | neutral,environment | entertainment | money | education
622,N622,disgust | sadness | surprise | neutral,technology | environment | crime | health | entertainment | education | money
623,N623,disgust | anger | sadness | neutral,technology | environment | politics | crime | health | entertainment | education
624,N624,fear | neutral,technology | crime | environment | health | entertainment | money
625,N625,anger | fear | neutral,technology | environment | crime | health | entertainment | education | money
626,N626,joy | neutral,technology | crime | environment | entertainment | money
627,N627,disgust | fear | sadness | surprise | neutral | anger,technology | crime | environment | health | entertainment | education
628,N628,disgust | anger | sadness | neutral,crime | environment | entertainment | education | money
629,N629,fear | neutral,environment | entertainment | education | technology
630,N630,sadness | neutral,sports | environment | crime | entertainment | education
631,N631,sadness | neutral,technology | environment | politics | crime | health | entertainment | education | money
632,N632,sadness | fear | neutral,sports | technology | environment | crime | health | entertainment | education
633,N633,anger | fear | sadness | neutral,politics | crime | environment | entertainment | education
634,N634,sadness | neutral,environment | crime | health | entertainment | education | money
635,N635,anger | neutral,technology | crime | environment | entertainment | education
636,N636,disgust | fear | sadness | joy | neutral,technology | crime | environment | politics | health | entertainment
637,N637,disgust | anger | neutral,environment | entertainment | technology
638,N638,anger | sadness | fear | neutral,politics | crime | environment | health | entertainment | education
639,N639,sadness | joy | neutral,sports | technology | environment | crime | health | entertainment | education
640,N640,anger | sadness | fear | neutral,environment | politics | crime | health | entertainment
641,N641,fear | sadness | surprise | neutral | anger,environment | politics | crime | entertainment | money
642,N642,anger | neutral,crime | entertainment | money | environment
643,N643,joy | neutral,environment | entertainment | technology
644,N644,sadness | neutral,sports | technology | environment | crime | entertainment | money
645,N645,neutral,environment | crime | politics | health | entertainment | money
646,N646,sadness | neutral,technology | environment | crime | health | entertainment
647,N647,fear | joy | neutral,sports | environment | crime | politics | health | entertainment | money
648,N648,anger | fear | sadness | neutral,environment | entertainment | politics | crime
649,N649,fear | sadness | neutral,environment | entertainment | technology
650,N650,sadness | fear | neutral,politics | crime | environment | health | entertainment | money
651,N651,sadness | neutral,environment | entertainment | crime | health
652,N652,neutral,environment | entertainment | politics | technology
653,N653,sadness | neutral,sports | technology | environment | crime | health | entertainment
654,N654,anger | neutral,technology | crime | environment | health | entertainment | money
655,N655,neutral,environment | entertainment | technology | crime
656,N656,sadness | neutral,environment | entertainment | sports | money
657,N657,fear | sadness | neutral,technology | environment | crime | health | entertainment | education | money
658,N658,fear | sadness | surprise | neutral,environment | entertainment | crime | health
659,N659,disgust | neutral,technology | environment | crime | entertainment | education
660,N660,neutral,environment | entertainment | technology | crime
661,N661,sadness | neutral,technology | politics | environment | crime | health | entertainment
662,N662,neutral,environment | entertainment | technology | health
663,N663,sadness | neutral,environment | entertainment | money | crime
664,N664,anger | neutral,sports | technology | environment | politics | health | entertainment | education
665,N665,sadness | joy | neutral,sports | environment | politics | crime | entertainment
666,N666,neutral,politics | entertainment | crime | environment
667,N667,sadness | neutral,technology | environment | crime | health | entertainment | money
668,N668,anger | neutral,environment | entertainment | crime | health
669,N669,fear | neutral,environment | entertainment | crime | health
670,N670,disgust | sadness | surprise | neutral | anger,sports | technology | environment | crime | entertainment
671,N671,fear | neutral,environment | politics | crime | health | entertainment
672,N672,sadness | joy | neutral,technology | environment | crime | health | entertainment | education | money
673,N673,sadness | neutral,environment | entertainment | crime | health
674,N674,disgust | neutral,environment | politics | crime | entertainment | money
675,N675,anger | neutral,technology | environment | politics | crime | health | entertainment | money
676,N676,neutral,technology | environment | entertainment | education | money
677,N677,disgust | fear | neutral,environment | entertainment | crime
678,N678,anger | neutral,technology | environment | politics | crime | entertainment | money
679,N679,disgust | neutral,technology | environment | politics | crime | entertainment
680,N680,sadness | neutral,sports | technology | environment | crime | health | entertainment | money
681,N681,anger | fear | neutral,environment | politics | crime | entertainment | money
682,N682,anger | sadness | neutral,technology | environment | politics | crime | entertainment | education | money
683,N683,sadness | fear | neutral,technology | environment | crime | health | entertainment | education | money
684,N684,disgust | anger | joy | neutral,technology | environment | crime | entertainment | money
685,N685,joy | neutral,environment | entertainment | money | technology
686,N686,neutral,environment | entertainment | money | crime
687,N687,sadness | neutral,technology | crime | environment | entertainment | education
688,N688,sadness | joy | neutral,environment | crime | health | entertainment | education
689,N689,anger | fear | neutral,technology | politics | environment | crime | entertainment | money
690,N690,disgust | sadness | fear | neutral,technology | environment | crime | politics | health | entertainment
691,N691,anger | neutral,environment | entertainment | politics | money
692,N692,neutral,technology | environment | entertainment | education | money
693,N693,sadness | neutral,technology | environment | crime | health | entertainment | money
694,N694,sadness | neutral,technology | environment | politics | entertainment | education | money
695,N695,disgust | anger | neutral,environment | crime | politics | health | entertainment | money
696,N696,anger | sadness | surprise | neutral,environment | entertainment | crime | technology
697,N697,anger | fear | neutral,crime | entertainment | health | environment
698,N698,fear | neutral,education | entertainment | money | environment
699,N699,joy | neutral,environment | entertainment | sports
700,N700,fear | neutral,education | entertainment | technology | environment
701,N701,fear | neutral,environment | entertainment | education | technology
702,N702,joy | neutral,environment | crime | health | entertainment | money
703,N703,disgust | neutral,technology | environment | crime | health | entertainment | money
704,N704,disgust | fear | sadness | neutral | anger,technology | environment | crime | politics | health | entertainment | money
705,N705,disgust | anger | sadness | neutral,technology | politics | crime | environment | entertainment | education
706,N706,anger | neutral,politics | crime | environment | entertainment | money
707,N707,sadness | neutral,environment | entertainment | money | crime
708,N708,fear | joy | neutral,technology | environment | crime | entertainment | education
709,N709,sadness | neutral,crime | entertainment | environment | health
710,N710,fear | neutral,technology | environment | entertainment | education | money
711,N711,disgust | neutral,environment | politics | crime | health | entertainment
712,N712,neutral,crime | entertainment | money | environment
713,N713,sadness | neutral,environment | entertainment | crime
714,N714,sadness | fear | neutral | surprise,environment | entertainment | crime | health
715,N715,sadness | neutral,environment | health | entertainment | education | money
716,N716,disgust | sadness | joy | neutral,environment | entertainment | technology
717,N717,anger | sadness | joy | neutral,sports | environment | crime | entertainment | money
718,N718,sadness | joy | neutral,sports | crime | politics | environment | entertainment | education | money
719,N719,sadness | fear | neutral,technology | environment | politics | crime | entertainment
720,N720,disgust | sadness | joy | neutral,technology | environment | health | entertainment | education | money
721,N721,sadness | neutral,sports | technology | environment | health | entertainment | education | money
722,N722,anger | surprise | neutral,environment | entertainment | crime
723,N723,sadness | neutral,technology | environment | crime | entertainment | education | money
724,N724,anger | joy | neutral,technology | environment | crime | politics | health | entertainment | education | money
725,N725,fear | sadness | neutral,environment | entertainment | money | education
726,N726,fear | sadness | neutral,technology | environment | health | entertainment | education | money
727,N727,fear | neutral,technology | environment | politics | crime | entertainment
728,N728,neutral,environment | entertainment | politics | money
729,N729,anger | neutral,environment | crime | health | entertainment | education | money
730,N730,anger | neutral,technology | crime | politics | environment | health | entertainment | education
731,N731,disgust | anger | fear | neutral,sports | environment | crime | health | entertainment
732,N732,disgust | surprise | neutral,politics | crime | environment | entertainment | money
733,N733,anger | neutral,technology | environment | politics | crime | entertainment
734,N734,anger | neutral,crime | entertainment | politics | environment
735,N735,sadness | joy | neutral,environment | entertainment | sports | health
736,N736,disgust | sadness | neutral,technology | environment | politics | health | entertainment | education
737,N737,fear | joy | neutral,environment | entertainment | politics | health
738,N738,neutral,environment | entertainment | politics | money
739,N739,anger | sadness | neutral,environment | entertainment | politics | crime
740,N740,neutral,technology | environment | politics | crime | entertainment | money
741,N741,fear | surprise | neutral,environment | crime | health | entertainment | money
742,N742,surprise | neutral,environment | entertainment | technology | health
743,N743,sadness | neutral,technology | environment | crime | health | entertainment
744,N744,surprise | neutral,environment | entertainment | politics | technology
745,N745,sadness | neutral,technology | environment | politics | crime | entertainment
746,N746,neutral,crime | politics | environment | entertainment | money
747,N747,disgust | anger | fear | neutral,environment | entertainment | crime | health
748,N748,anger | neutral,technology | environment | politics | health | entertainment | education
749,N749,anger | neutral,sports | technology | environment | crime | entertainment
750,N750,surprise | neutral,environment | politics | crime | health | entertainment | money
751,N751,anger | sadness | neutral,environment | entertainment | money | technology
752,N752,sadness | neutral,environment | entertainment | money | health
753,N753,sadness | neutral,environment | entertainment | technology
754,N754,neutral,sports | technology | environment | politics | crime | entertainment
755,N755,sadness | neutral,technology | politics | environment | crime | entertainment | education
756,N756,disgust | sadness | neutral,sports | environment | crime | health | entertainment
757,N757,neutral,environment | entertainment | crime | technology
758,N758,surprise | neutral,sports | environment | crime | health | entertainment
759,N759,neutral,technology | environment | crime | health | entertainment | money
760,N760,anger | fear | neutral,technology | environment | entertainment | education | money
761,N761,joy | neutral,sports | technology | environment | entertainment | education | money
762,N762,neutral,environment | entertainment | sports | technology
763,N763,neutral,technology | crime | environment | entertainment | education | money
764,N764,joy | neutral,technology | environment | crime | politics | entertainment | education | money
765,N765,neutral,sports | technology | environment | crime | entertainment | money
766,N766,anger | neutral,sports | technology | environment | entertainment | education | money
767,N767,fear | surprise | neutral,sports | technology | environment | health | entertainment | money
768,N768,neutral,technology | environment | crime | politics | health | entertainment | education | money
769,N769,surprise | neutral,environment | entertainment | money | technology
770,N770,sadness | neutral,technology | environment | crime | entertainment | education | money
771,N771,joy | neutral,environment | entertainment | money | technology
772,N772,neutral,sports | technology | environment | politics | health | entertainment
773,N773,neutral,technology | environment | health | entertainment | money
774,N774,sadness | neutral,sports | environment | crime | health | entertainment | education | money
775,N775,neutral,sports | technology | environment | health | entertainment
776,N776,neutral,environment | entertainment | money | technology
777,N777,neutral,environment | entertainment | money
778,N778,neutral,technology | environment | crime | entertainment | money
779,N779,anger | neutral,environment | politics | entertainment | education | money
780,N780,joy | neutral,environment | entertainment | money | technology
781,N781,neutral,sports | technology | environment | crime | politics | health | entertainment
782,N782,joy | neutral,environment | entertainment | sports | education
783,N783,neutral,technology | environment | politics | entertainment | education | money
784,N784,sadness | joy | neutral,environment | crime | health | entertainment | education
785,N785,anger | fear | neutral,technology | environment | politics | health | entertainment | money
786,N786,anger | sadness | neutral,technology | environment | politics | health | entertainment | education | money
787,N787,joy | neutral,environment | entertainment | money | technology
788,N788,neutral,environment | entertainment | money | crime
789,N789,neutral,technology | environment | health | entertainment | money
790,N790,disgust | neutral,crime | entertainment | technology | environment
791,N791,anger | neutral,technology | environment | politics | crime | entertainment | money
792,N792,neutral,technology | environment | crime | entertainment | money
793,N793,sadness | joy | neutral,sports | technology | environment | health | entertainment | education
794,N794,sadness | surprise | neutral | joy,technology | environment | entertainment | education | money
795,N795,neutral,technology | environment | crime | health | entertainment | money
796,N796,anger | sadness | joy | neutral,environment | crime | politics | health | entertainment | money
797,N797,anger | sadness | surprise | neutral,technology | environment | crime | health | entertainment
798,N798,surprise | neutral,technology | environment | politics | crime | health | entertainment | money
799,N799,sadness | neutral,technology | environment | crime | health | entertainment | money
800,N800,sadness | fear | neutral,technology | environment | entertainment | education | money
801,N801,fear | neutral,technology | environment | crime | entertainment | money
802,N802,sadness | joy | neutral,technology | environment | crime | health | entertainment
803,N803,disgust | anger | neutral,environment | crime | entertainment | education | money
804,N804,neutral,environment | entertainment | money | technology
805,N805,sadness | joy | neutral,sports | technology | environment | health | entertainment | money
806,N806,anger | sadness | joy | neutral,sports | technology | environment | crime | health | entertainment
807,N807,neutral,sports | technology | environment | politics | entertainment
808,N808,anger | neutral,technology | environment | health | entertainment | money
809,N809,neutral,technology | environment | crime | entertainment | money
810,N810,neutral,environment | entertainment | money | technology
811,N811,disgust | neutral,technology | crime | environment | health | entertainment
812,N812,anger | sadness | neutral,environment | entertainment | technology | health
813,N813,anger | sadness | fear | neutral,technology | crime | environment | health | entertainment
814,N814,neutral,politics | entertainment | technology | environment
815,N815,sadness | neutral,politics | crime | environment | entertainment | education | money
816,N816,anger | fear | sadness | neutral,environment | politics | crime | health | entertainment | money
817,N817,disgust | fear | sadness | surprise | neutral,technology | crime | environment | health | entertainment
818,N818,anger | sadness | fear | neutral,sports | technology | environment | crime | health | entertainment | money
819,N819,fear | joy | neutral,environment | politics | crime | entertainment | money
820,N820,disgust | anger | sadness | neutral,technology | environment | politics | crime | entertainment | money
821,N821,fear | surprise | neutral,technology | environment | crime | health | entertainment
822,N822,neutral,environment | health | entertainment | education | money
823,N823,anger | neutral,environment | entertainment | crime | technology
824,N824,anger | fear | neutral,sports | crime | politics | environment | entertainment | education
825,N825,disgust | fear | sadness | joy | neutral | anger,environment | entertainment | money | crime
826,N826,disgust | sadness | neutral,environment | entertainment | crime | health
827,N827,sadness | neutral,sports | technology | crime | environment | health | entertainment
828,N828,fear | neutral,technology | environment | crime | health | entertainment | money
829,N829,anger | neutral,technology | environment | crime | health | entertainment | education | money
830,N830,anger | sadness | neutral,crime | entertainment | sports | environment
831,N831,anger | fear | sadness | neutral,sports | technology | environment | entertainment | education
832,N832,sadness | neutral,technology | environment | crime | health | entertainment | money
833,N833,neutral,technology | environment | politics | crime | entertainment
834,N834,disgust | fear | neutral,technology | environment | crime | entertainment | money
835,N835,sadness | joy | neutral,crime | environment | health | entertainment | money
836,N836,anger | neutral,technology | crime | environment | health | entertainment | money
837,N837,sadness | neutral,environment | entertainment | money
838,N838,joy | neutral,technology | environment | health | entertainment | money
839,N839,disgust | sadness | surprise | neutral | anger,technology | environment | crime | entertainment | money
840,N840,anger | surprise | neutral,sports | technology | environment | crime | entertainment
841,N841,anger | sadness | neutral,technology | crime | environment | health | entertainment | money
842,N842,anger | surprise | joy | neutral,environment | entertainment | politics | money
843,N843,sadness | neutral,environment | politics | crime | health | entertainment | money
844,N844,sadness | neutral,technology | environment | politics | crime | entertainment | education
845,N845,fear | sadness | joy | neutral | anger,crime | politics | environment | entertainment | money
846,N846,anger | neutral,environment | entertainment | sports | money
847,N847,anger | fear | neutral,sports | technology | politics | crime | environment | entertainment | money
848,N848,anger | neutral,technology | crime | environment | health | entertainment
849,N849,neutral,politics | environment | entertainment | education | money
850,N850,anger | sadness | neutral,sports | technology | environment | crime | health | entertainment
851,N851,neutral,environment | entertainment | technology
852,N852,fear | joy | surprise | neutral | anger,environment | crime | politics | health | entertainment | money
853,N853,fear | surprise | neutral,sports | technology | environment | crime | entertainment | money
854,N854,sadness | neutral,crime | politics | environment | entertainment | money
855,N855,anger | fear | sadness | neutral,technology | environment | politics | crime | entertainment | money
856,N856,anger | fear | neutral,environment | politics | entertainment | education | money
857,N857,neutral,technology | environment | politics | health | entertainment
858,N858,anger | sadness | surprise | neutral,environment | entertainment | crime | technology
859,N859,neutral,sports | crime | politics | environment | entertainment | money
860,N860,anger | neutral,sports | technology | environment | crime | entertainment
861,N861,disgust | fear | surprise | neutral | anger,technology | crime | environment | entertainment | money
862,N862,sadness | neutral,environment | entertainment | crime | technology
863,N863,neutral,technology | environment | politics | entertainment | education | money
864,N864,anger | fear | neutral,environment | entertainment | crime | technology
865,N865,anger | fear | joy | neutral,technology | environment | crime | entertainment | education
866,N866,joy | neutral,technology | environment | politics | entertainment | education | money
867,N867,anger | fear | neutral,crime | entertainment | politics | environment
868,N868,anger | sadness | neutral,crime | entertainment | money | environment
869,N869,disgust | neutral,environment | entertainment | technology
870,N870,neutral,environment | entertainment | money | technology
871,N871,sadness | neutral,sports | technology | environment | entertainment | education | money
872,N872,disgust | fear | sadness | neutral | anger,technology | crime | environment | entertainment | money
873,N873,disgust | anger | neutral,technology | crime | environment | entertainment | education | money
874,N874,sadness | neutral,technology | politics | environment | entertainment | money
875,N875,disgust | sadness | neutral,technology | environment | politics | crime | health | entertainment | education | money
876,N876,fear | sadness | surprise | neutral,technology | environment | crime | entertainment | money
877,N877,anger | fear | joy | neutral,environment | sports | money
878,N878,sadness | neutral,environment | entertainment | money | technology
879,N879,anger | fear | neutral,technology | environment | crime | entertainment | education | money
