Doc,Emotions,Topics
472,sadness | neutral,environment | entertainment | technology
473,neutral,technology | politics | crime | environment | entertainment | money
474,disgust | fear | neutral,environment | crime | health | entertainment | money
475,sadness | neutral,environment | entertainment | politics | technology
476,disgust | sadness | joy | neutral,environment | health | entertainment | education | money
477,anger | sadness | neutral,technology | environment | crime | health | entertainment | money
478,anger | fear | neutral,environment | entertainment | money | crime
479,neutral,environment | crime | health | entertainment | money
480,anger | sadness | neutral,technology | environment | crime | health | entertainment
481,fear | neutral,environment | crime | health | entertainment | money
482,disgust | anger | sadness | neutral,environment | entertainment | crime | health
483,sadness | neutral,sports | crime | environment | entertainment | money
484,disgust | anger | sadness | neutral,technology | environment | politics | crime | health | entertainment | money
485,sadness | neutral,technology | environment | crime | health | entertainment
486,anger | sadness | joy | neutral,crime | politics | environment | entertainment | money
487,anger | joy | neutral,technology | environment | crime | health | entertainment | money
488,disgust | neutral,sports | crime | environment | health | entertainment | money
489,anger | fear | sadness | neutral,technology | crime | environment | entertainment | education | money
490,fear | sadness | surprise | neutral,sports | technology | crime | environment | health | entertainment | education
491,neutral,technology | environment | crime | health | entertainment | money
492,disgust | sadness | neutral,technology | crime | environment | health | entertainment | money
493,disgust | fear | neutral,technology | environment | crime | health | entertainment | education | money
494,neutral,technology | crime | environment | health | entertainment
495,disgust | anger | neutral,technology | environment | health | entertainment | money
496,neutral,technology | environment | politics | health | entertainment | education
497,surprise | neutral,environment | entertainment | money | crime
498,anger | neutral,crime | entertainment | environment
499,neutral,crime | entertainment | technology | environment
500,neutral,environment | entertainment | crime
501,neutral,environment | entertainment | health
502,anger | neutral,technology | environment | crime | entertainment | education
503,neutral,sports | technology | environment | health | entertainment | education
504,sadness | neutral,sports | politics | crime | environment | entertainment
505,neutral,technology | environment | crime | entertainment | money
506,neutral,sports | technology | environment | health | entertainment | money
507,disgust | sadness | surprise | neutral,technology | environment | crime | politics | health | entertainment | money
508,anger | neutral,environment | entertainment
509,surprise | joy | neutral,sports | technology | crime | environment | entertainment | education | money
510,anger | neutral,sports | crime | environment | entertainment | money
511,surprise | neutral,environment | entertainment | technology
512,anger | sadness | surprise | neutral,environment | entertainment | technology | crime
513,disgust | neutral,sports | environment | crime | entertainment | money
514,neutral,environment | entertainment
515,fear | neutral,environment | entertainment | crime | technology
516,anger | surprise | neutral,education | entertainment | money | environment
517,neutral,environment | entertainment | money
518,anger | sadness | neutral,technology | environment | health | entertainment | money
519,surprise | neutral,sports | environment | health | entertainment | money
520,disgust | anger | fear | neutral,technology | environment | crime | entertainment | money
521,joy | neutral,sports | technology | environment | entertainment | money
522,neutral,technology | environment | politics | health | entertainment | education | money
523,sadness | joy | neutral,education | entertainment | money | environment
524,fear | neutral,environment | entertainment | money | crime
525,sadness | neutral,technology | environment | politics | entertainment | education | money
526,sadness | neutral,technology | environment | politics | health | entertainment
527,sadness | neutral,sports | technology | environment | health | entertainment | money
528,disgust | fear | sadness | joy | neutral,crime | entertainment | money | environment
529,disgust | fear | neutral,technology | environment | politics | health | entertainment | money
530,anger | fear | neutral,technology | environment | health | entertainment | money
531,anger | neutral,sports | environment | politics | crime | health | entertainment | money
532,anger | neutral,environment | politics | crime | health | entertainment
533,disgust | sadness | neutral,technology | environment | politics | health | entertainment | education | money
534,neutral,sports | technology | environment | health | entertainment | money
535,anger | fear | neutral,environment | entertainment | money | health
536,disgust | fear | sadness | joy | neutral,sports | technology | environment | politics | health | entertainment | education | money
537,disgust | sadness | joy | neutral | anger,technology | environment | crime | health | entertainment | money
538,anger | sadness | neutral,technology | crime | environment | health | entertainment
539,sadness | joy | neutral,sports | technology | environment | crime | entertainment | education | money
540,fear | neutral,environment | health | entertainment | education | money
541,joy | neutral,technology | crime | environment | entertainment | money
542,disgust | sadness | neutral,sports | technology | environment | politics | health | entertainment | education | money
543,anger | sadness | neutral,technology | environment | crime | entertainment | education
544,fear | neutral,technology | environment | entertainment | education | money
545,surprise | neutral,technology | crime | politics | environment | health | entertainment | money
546,anger | fear | sadness | neutral,sports | technology | environment | health | entertainment | money
547,disgust | anger | neutral,sports | technology | environment | health | entertainment | education | money
548,fear | sadness | neutral,sports | technology | environment | crime | health | entertainment | education | money
549,anger | neutral,sports | technology | environment | crime | politics | health | entertainment | money
550,sadness | surprise | neutral,sports | technology | crime | environment | entertainment | money
551,neutral,technology | environment | crime | politics | health | entertainment | money
552,sadness | neutral,sports | technology | crime | environment | health | entertainment | money
553,sadness | neutral,sports | technology | environment | crime | entertainment | money
554,anger | surprise | neutral,technology | environment | politics | crime | health | entertainment
555,anger | sadness | neutral,environment | politics | crime | health | entertainment
556,sadness | surprise | neutral,technology | crime | environment | health | entertainment | money
557,neutral,sports | technology | environment | crime | entertainment
558,sadness | fear | neutral,technology | crime | environment | health | entertainment
559,anger | surprise | neutral,technology | environment | politics | crime | health | entertainment
560,anger | neutral,technology | environment | crime | politics | health | entertainment | money
561,fear | neutral,technology | environment | politics | entertainment | education | money
562,fear | neutral,politics | crime | environment | health | entertainment | education
563,anger | neutral,sports | technology | crime | environment | health | entertainment | education
564,disgust | fear | sadness | neutral,technology | environment | crime | health | entertainment | money
565,fear | neutral,technology | environment | crime | health | entertainment | education
566,sadness | neutral,environment | entertainment | money | crime
567,surprise | neutral,technology | crime | environment | entertainment | money
568,anger | neutral,technology | environment | crime | entertainment | money
569,fear | neutral,technology | politics | environment | entertainment | education | money
570,disgust | neutral,environment | entertainment | money | crime
571,anger | surprise | neutral,sports | environment | politics | health | entertainment | education | money
572,anger | neutral,sports | technology | crime | environment | health | entertainment | money
573,neutral,sports | technology | environment | politics | health | entertainment | education | money
574,neutral,technology | environment | politics | entertainment | education | money
575,anger | sadness | surprise | neutral,sports | technology | environment | health | entertainment | education | money
576,anger | sadness | neutral,environment | politics | crime | health | entertainment | money
577,anger | sadness | neutral,technology | environment | politics | crime | entertainment
578,neutral,environment | entertainment | money | crime
579,fear | neutral,crime | environment | politics | entertainment | education | money
580,disgust | fear | neutral,technology | crime | environment | politics | health | entertainment | education
581,sadness | joy | neutral,sports | technology | environment | entertainment | education
582,disgust | fear | sadness | surprise | joy | neutral | anger,technology | environment | crime | politics | health | entertainment | education | money
583,fear | sadness | neutral,sports | technology | environment | crime | entertainment | education | money
584,anger | neutral,sports | technology | crime | environment | entertainment
585,disgust | surprise | neutral | joy,technology | environment | crime | entertainment | education
586,sadness | neutral,sports | technology | environment | health | entertainment | education
587,anger | sadness | surprise | neutral,technology | environment | crime | entertainment | education
588,disgust | fear | neutral,crime | environment | health | entertainment | education | money
589,anger | fear | sadness | neutral,sports | environment | politics | crime | entertainment | education
590,disgust | sadness | neutral,sports | politics | environment | crime | health | entertainment | education
591,sadness | neutral,environment | entertainment | money | education
592,fear | joy | neutral,environment | entertainment | money | education
593,anger | sadness | neutral,sports | crime | environment | health | entertainment | education
594,disgust | anger | sadness | neutral,sports | technology | environment | health | entertainment | education
595,fear | sadness | neutral,environment | crime | health | entertainment | education | money
596,fear | sadness | neutral,environment | crime | entertainment | education | money
597,fear | joy | neutral,technology | environment | crime | health | entertainment | education
598,fear | neutral,sports | crime | environment | entertainment | education
599,anger | fear | neutral,technology | crime | environment | health | entertainment | education
600,disgust | sadness | fear | neutral,environment | crime | health | entertainment | education
601,fear | sadness | surprise | joy | neutral,sports | environment | crime | health | entertainment | education
602,anger | joy | neutral,crime | environment | health | entertainment | education
603,sadness | joy | neutral,sports | technology | environment | health | entertainment | education
604,sadness | neutral,sports | technology | crime | environment | health | entertainment | education | money
605,disgust | fear | joy | neutral,technology | environment | crime | health | entertainment | education | money
606,neutral,sports | technology | politics | environment | entertainment
607,sadness | neutral,technology | environment | health | entertainment | education
608,disgust | fear | surprise | neutral | anger,crime | environment | politics | health | entertainment | education
609,neutral,environment | crime | health | entertainment | education
610,disgust | sadness | neutral,crime | entertainment | education | environment
611,anger | sadness | surprise | neutral,technology | environment | politics | crime | entertainment | education | money
612,anger | sadness | neutral,technology | crime | environment | politics | entertainment | education
613,disgust | sadness | surprise | neutral,technology | environment | crime | health | entertainment | education | money
614,anger | fear | neutral,education | entertainment | environment
615,fear | surprise | neutral,technology | environment | crime | entertainment | education | money
616,sadness | neutral,technology | environment | health | entertainment | education | money
617,fear | sadness | joy | surprise | neutral | anger,environment | crime | health | entertainment | education | money
618,anger | surprise | neutral,sports | environment | crime | health | entertainment | money
619,neutral,crime | environment | health | entertainment | education
620,sadness | fear | neutral,technology | environment | crime | health | entertainment | education | money
621,sadness | neutral,environment | entertainment | money | education
622,disgust | sadness | surprise | neutral,technology | environment | crime | health | entertainment | education | money
623,disgust | anger | sadness | neutral,technology | environment | politics | crime | health | entertainment | education
624,fear | neutral,technology | crime | environment | health | entertainment | money
625,anger | fear | neutral,technology | environment | crime | health | entertainment | education | money
626,joy | neutral,technology | crime | environment | entertainment | money
627,disgust | fear | sadness | surprise | neutral | anger,technology | crime | environment | health | entertainment | education
628,disgust | anger | sadness | neutral,crime | environment | entertainment | education | money
629,fear | neutral,environment | entertainment | education | technology
630,sadness | neutral,sports | environment | crime | entertainment | education
631,sadness | neutral,technology | environment | politics | crime | health | entertainment | education | money
632,sadness | fear | neutral,sports | technology | environment | crime | health | entertainment | education
633,anger | fear | sadness | neutral,politics | crime | environment | entertainment | education
634,sadness | neutral,environment | crime | health | entertainment | education | money
635,anger | neutral,technology | crime | environment | entertainment | education
636,disgust | fear | sadness | joy | neutral,technology | crime | environment | politics | health | entertainment
637,disgust | anger | neutral,environment | entertainment | technology
638,anger | sadness | fear | neutral,politics | crime | environment | health | entertainment | education
639,sadness | joy | neutral,sports | technology | environment | crime | health | entertainment | education
640,anger | sadness | fear | neutral,environment | politics | crime | health | entertainment
641,fear | sadness | surprise | neutral | anger,environment | politics | crime | entertainment | money
642,anger | neutral,crime | entertainment | money | environment
643,joy | neutral,environment | entertainment | technology
644,sadness | neutral,sports | technology | environment | crime | entertainment | money
645,neutral,environment | crime | politics | health | entertainment | money
646,sadness | neutral,technology | environment | crime | health | entertainment
647,fear | joy | neutral,sports | environment | crime | politics | health | entertainment | money
648,anger | fear | sadness | neutral,environment | entertainment | politics | crime
649,fear | sadness | neutral,environment | entertainment | technology
650,sadness | fear | neutral,politics | crime | environment | health | entertainment | money
651,sadness | neutral,environment | entertainment | crime | health
652,neutral,environment | entertainment | politics | technology
653,sadness | neutral,sports | technology | environment | crime | health | entertainment
654,anger | neutral,technology | crime | environment | health | entertainment | money
655,neutral,environment | entertainment | technology | crime
656,sadness | neutral,environment | entertainment | sports | money
657,fear | sadness | neutral,technology | environment | crime | health | entertainment | education | money
658,fear | sadness | surprise | neutral,environment | entertainment | crime | health
659,disgust | neutral,technology | environment | crime | entertainment | education
660,neutral,environment | entertainment | technology | crime
661,sadness | neutral,technology | politics | environment | crime | health | entertainment
662,neutral,environment | entertainment | technology | health
663,sadness | neutral,environment | entertainment | money | crime
664,anger | neutral,sports | technology | environment | politics | health | entertainment | education
665,sadness | joy | neutral,sports | environment | politics | crime | entertainment
666,neutral,politics | entertainment | crime | environment
667,sadness | neutral,technology | environment | crime | health | entertainment | money
668,anger | neutral,environment | entertainment | crime | health
669,fear | neutral,environment | entertainment | crime | health
670,disgust | sadness | surprise | neutral | anger,sports | technology | environment | crime | entertainment
671,fear | neutral,environment | politics | crime | health | entertainment
672,sadness | joy | neutral,technology | environment | crime | health | entertainment | education | money
673,sadness | neutral,environment | entertainment | crime | health
674,disgust | neutral,environment | politics | crime | entertainment | money
675,anger | neutral,technology | environment | politics | crime | health | entertainment | money
676,neutral,technology | environment | entertainment | education | money
677,disgust | fear | neutral,environment | entertainment | crime
678,anger | neutral,technology | environment | politics | crime | entertainment | money
679,disgust | neutral,technology | environment | politics | crime | entertainment
680,sadness | neutral,sports | technology | environment | crime | health | entertainment | money
681,anger | fear | neutral,environment | politics | crime | entertainment | money
682,anger | sadness | neutral,technology | environment | politics | crime | entertainment | education | money
683,sadness | fear | neutral,technology | environment | crime | health | entertainment | education | money
684,disgust | anger | joy | neutral,technology | environment | crime | entertainment | money
685,joy | neutral,environment | entertainment | money | technology
686,neutral,environment | entertainment | money | crime
687,sadness | neutral,technology | crime | environment | entertainment | education
688,sadness | joy | neutral,environment | crime | health | entertainment | education
689,anger | fear | neutral,technology | politics | environment | crime | entertainment | money
690,disgust | sadness | fear | neutral,technology | environment | crime | politics | health | entertainment
691,anger | neutral,environment | entertainment | politics | money
692,neutral,technology | environment | entertainment | education | money
693,sadness | neutral,technology | environment | crime | health | entertainment | money
694,sadness | neutral,technology | environment | politics | entertainment | education | money
695,disgust | anger | neutral,environment | crime | politics | health | entertainment | money
696,anger | sadness | surprise | neutral,environment | entertainment | crime | technology
697,anger | fear | neutral,crime | entertainment | health | environment
698,fear | neutral,education | entertainment | money | environment
699,joy | neutral,environment | entertainment | sports
700,fear | neutral,education | entertainment | technology | environment
701,fear | neutral,environment | entertainment | education | technology
702,joy | neutral,environment | crime | health | entertainment | money
703,disgust | neutral,technology | environment | crime | health | entertainment | money
704,disgust | fear | sadness | neutral | anger,technology | environment | crime | politics | health | entertainment | money
705,disgust | anger | sadness | neutral,technology | politics | crime | environment | entertainment | education
706,anger | neutral,politics | crime | environment | entertainment | money
707,sadness | neutral,environment | entertainment | money | crime
708,fear | joy | neutral,technology | environment | crime | entertainment | education
709,sadness | neutral,crime | entertainment | environment | health
710,fear | neutral,technology | environment | entertainment | education | money
711,disgust | neutral,environment | politics | crime | health | entertainment
712,neutral,crime | entertainment | money | environment
713,sadness | neutral,environment | entertainment | crime
714,sadness | fear | neutral | surprise,environment | entertainment | crime | health
715,sadness | neutral,environment | health | entertainment | education | money
716,disgust | sadness | joy | neutral,environment | entertainment | technology
717,anger | sadness | joy | neutral,sports | environment | crime | entertainment | money
718,sadness | joy | neutral,sports | crime | politics | environment | entertainment | education | money
719,sadness | fear | neutral,technology | environment | politics | crime | entertainment
720,disgust | sadness | joy | neutral,technology | environment | health | entertainment | education | money
721,sadness | neutral,sports | technology | environment | health | entertainment | education | money
722,anger | surprise | neutral,environment | entertainment | crime
723,sadness | neutral,technology | environment | crime | entertainment | education | money
724,anger | joy | neutral,technology | environment | crime | politics | health | entertainment | education | money
725,fear | sadness | neutral,environment | entertainment | money | education
726,fear | sadness | neutral,technology | environment | health | entertainment | education | money
727,fear | neutral,technology | environment | politics | crime | entertainment
728,neutral,environment | entertainment | politics | money
729,anger | neutral,environment | crime | health | entertainment | education | money
730,anger | neutral,technology | crime | politics | environment | health | entertainment | education
731,disgust | anger | fear | neutral,sports | environment | crime | health | entertainment
732,disgust | surprise | neutral,politics | crime | environment | entertainment | money
733,anger | neutral,technology | environment | politics | crime | entertainment
734,anger | neutral,crime | entertainment | politics | environment
735,sadness | joy | neutral,environment | entertainment | sports | health
736,disgust | sadness | neutral,technology | environment | politics | health | entertainment | education
737,fear | joy | neutral,environment | entertainment | politics | health
738,neutral,environment | entertainment | politics | money
739,anger | sadness | neutral,environment | entertainment | politics | crime
740,neutral,technology | environment | politics | crime | entertainment | money
741,fear | surprise | neutral,environment | crime | health | entertainment | money
742,surprise | neutral,environment | entertainment | technology | health
743,sadness | neutral,technology | environment | crime | health | entertainment
744,surprise | neutral,environment | entertainment | politics | technology
745,sadness | neutral,technology | environment | politics | crime | entertainment
746,neutral,crime | politics | environment | entertainment | money
747,disgust | anger | fear | neutral,environment | entertainment | crime | health
748,anger | neutral,technology | environment | politics | health | entertainment | education
749,anger | neutral,sports | technology | environment | crime | entertainment
750,surprise | neutral,environment | politics | crime | health | entertainment | money
751,anger | sadness | neutral,environment | entertainment | money | technology
752,sadness | neutral,environment | entertainment | money | health
753,sadness | neutral,environment | entertainment | technology
754,neutral,sports | technology | environment | politics | crime | entertainment
755,sadness | neutral,technology | politics | environment | crime | entertainment | education
756,disgust | sadness | neutral,sports | environment | crime | health | entertainment
757,neutral,environment | entertainment | crime | technology
758,surprise | neutral,sports | environment | crime | health | entertainment
759,neutral,technology | environment | crime | health | entertainment | money
760,anger | fear | neutral,technology | environment | entertainment | education | money
761,joy | neutral,sports | technology | environment | entertainment | education | money
762,neutral,environment | entertainment | sports | technology
763,neutral,technology | crime | environment | entertainment | education | money
764,joy | neutral,technology | environment | crime | politics | entertainment | education | money
765,neutral,sports | technology | environment | crime | entertainment | money
766,anger | neutral,sports | technology | environment | entertainment | education | money
767,fear | surprise | neutral,sports | technology | environment | health | entertainment | money
768,neutral,technology | environment | crime | politics | health | entertainment | education | money
769,surprise | neutral,environment | entertainment | money | technology
770,sadness | neutral,technology | environment | crime | entertainment | education | money
771,joy | neutral,environment | entertainment | money | technology
772,neutral,sports | technology | environment | politics | health | entertainment
773,neutral,technology | environment | health | entertainment | money
774,sadness | neutral,sports | environment | crime | health | entertainment | education | money
775,neutral,sports | technology | environment | health | entertainment
776,neutral,environment | entertainment | money | technology
777,neutral,environment | entertainment | money
778,neutral,technology | environment | crime | entertainment | money
779,anger | neutral,environment | politics | entertainment | education | money
780,joy | neutral,environment | entertainment | money | technology
781,neutral,sports | technology | environment | crime | politics | health | entertainment
782,joy | neutral,environment | entertainment | sports | education
783,neutral,technology | environment | politics | entertainment | education | money
784,sadness | joy | neutral,environment | crime | health | entertainment | education
785,anger | fear | neutral,technology | environment | politics | health | entertainment | money
786,anger | sadness | neutral,technology | environment | politics | health | entertainment | education | money
787,joy | neutral,environment | entertainment | money | technology
788,neutral,environment | entertainment | money | crime
789,neutral,technology | environment | health | entertainment | money
790,disgust | neutral,crime | entertainment | technology | environment
791,anger | neutral,technology | environment | politics | crime | entertainment | money
792,neutral,technology | environment | crime | entertainment | money
793,sadness | joy | neutral,sports | technology | environment | health | entertainment | education
794,sadness | surprise | neutral | joy,technology | environment | entertainment | education | money
795,neutral,technology | environment | crime | health | entertainment | money
796,anger | sadness | joy | neutral,environment | crime | politics | health | entertainment | money
797,anger | sadness | surprise | neutral,technology | environment | crime | health | entertainment
798,surprise | neutral,technology | environment | politics | crime | health | entertainment | money
799,sadness | neutral,technology | environment | crime | health | entertainment | money
800,sadness | fear | neutral,technology | environment | entertainment | education | money
801,fear | neutral,technology | environment | crime | entertainment | money
802,sadness | joy | neutral,technology | environment | crime | health | entertainment
803,disgust | anger | neutral,environment | crime | entertainment | education | money
804,neutral,environment | entertainment | money | technology
805,sadness | joy | neutral,sports | technology | environment | health | entertainment | money
806,anger | sadness | joy | neutral,sports | technology | environment | crime | health | entertainment
807,neutral,sports | technology | environment | politics | entertainment
808,anger | neutral,technology | environment | health | entertainment | money
809,neutral,technology | environment | crime | entertainment | money
810,neutral,environment | entertainment | money | technology
811,disgust | neutral,technology | crime | environment | health | entertainment
812,anger | sadness | neutral,environment | entertainment | technology | health
813,anger | sadness | fear | neutral,technology | crime | environment | health | entertainment
814,neutral,politics | entertainment | technology | environment
815,sadness | neutral,politics | crime | environment | entertainment | education | money
816,anger | fear | sadness | neutral,environment | politics | crime | health | entertainment | money
817,disgust | fear | sadness | surprise | neutral,technology | crime | environment | health | entertainment
818,anger | sadness | fear | neutral,sports | technology | environment | crime | health | entertainment | money
819,fear | joy | neutral,environment | politics | crime | entertainment | money
820,disgust | anger | sadness | neutral,technology | environment | politics | crime | entertainment | money
821,fear | surprise | neutral,technology | environment | crime | health | entertainment
822,neutral,environment | health | entertainment | education | money
823,anger | neutral,environment | entertainment | crime | technology
824,anger | fear | neutral,sports | crime | politics | environment | entertainment | education
825,disgust | fear | sadness | joy | neutral | anger,environment | entertainment | money | crime
826,disgust | sadness | neutral,environment | entertainment | crime | health
827,sadness | neutral,sports | technology | crime | environment | health | entertainment
828,fear | neutral,technology | environment | crime | health | entertainment | money
829,anger | neutral,technology | environment | crime | health | entertainment | education | money
830,anger | sadness | neutral,crime | entertainment | sports | environment
831,anger | fear | sadness | neutral,sports | technology | environment | entertainment | education
832,sadness | neutral,technology | environment | crime | health | entertainment | money
833,neutral,technology | environment | politics | crime | entertainment
834,disgust | fear | neutral,technology | environment | crime | entertainment | money
835,sadness | joy | neutral,crime | environment | health | entertainment | money
836,anger | neutral,technology | crime | environment | health | entertainment | money
837,sadness | neutral,environment | entertainment | money
838,joy | neutral,technology | environment | health | entertainment | money
839,disgust | sadness | surprise | neutral | anger,technology | environment | crime | entertainment | money
840,anger | surprise | neutral,sports | technology | environment | crime | entertainment
841,anger | sadness | neutral,technology | crime | environment | health | entertainment | money
842,anger | surprise | joy | neutral,environment | entertainment | politics | money
843,sadness | neutral,environment | politics | crime | health | entertainment | money
844,sadness | neutral,technology | environment | politics | crime | entertainment | education
845,fear | sadness | joy | neutral | anger,crime | politics | environment | entertainment | money
846,anger | neutral,environment | entertainment | sports | money
847,anger | fear | neutral,sports | technology | politics | crime | environment | entertainment | money
848,anger | neutral,technology | crime | environment | health | entertainment
849,neutral,politics | environment | entertainment | education | money
850,anger | sadness | neutral,sports | technology | environment | crime | health | entertainment
851,neutral,environment | entertainment | technology
852,fear | joy | surprise | neutral | anger,environment | crime | politics | health | entertainment | money
853,fear | surprise | neutral,sports | technology | environment | crime | entertainment | money
854,sadness | neutral,crime | politics | environment | entertainment | money
855,anger | fear | sadness | neutral,technology | environment | politics | crime | entertainment | money
856,anger | fear | neutral,environment | politics | entertainment | education | money
857,neutral,technology | environment | politics | health | entertainment
858,anger | sadness | surprise | neutral,environment | entertainment | crime | technology
859,neutral,sports | crime | politics | environment | entertainment | money
860,anger | neutral,sports | technology | environment | crime | entertainment
861,disgust | fear | surprise | neutral | anger,technology | crime | environment | entertainment | money
862,sadness | neutral,environment | entertainment | crime | technology
863,neutral,technology | environment | politics | entertainment | education | money
864,anger | fear | neutral,environment | entertainment | crime | technology
865,anger | fear | joy | neutral,technology | environment | crime | entertainment | education
866,joy | neutral,technology | environment | politics | entertainment | education | money
867,anger | fear | neutral,crime | entertainment | politics | environment
868,anger | sadness | neutral,crime | entertainment | money | environment
869,disgust | neutral,environment | entertainment | technology
870,neutral,environment | entertainment | money | technology
871,sadness | neutral,sports | technology | environment | entertainment | education | money
872,disgust | fear | sadness | neutral | anger,technology | crime | environment | entertainment | money
873,disgust | anger | neutral,technology | crime | environment | entertainment | education | money
874,sadness | neutral,technology | politics | environment | entertainment | money
875,disgust | sadness | neutral,technology | environment | politics | crime | health | entertainment | education | money
876,fear | sadness | surprise | neutral,technology | environment | crime | entertainment | money
877,anger | fear | joy | neutral,environment | sports | money
878,sadness | neutral,environment | entertainment | money | technology
879,anger | fear | neutral,technology | environment | crime | entertainment | education | money
880,fear | neutral,sports | technology | environment | crime | health | entertainment | money
881,anger | fear | neutral,technology | environment | crime | entertainment | money
882,anger | joy | neutral,technology | environment | crime | entertainment | money
883,disgust | fear | neutral,technology | environment | politics | entertainment | money
884,neutral,environment | entertainment | sports
885,sadness | joy | neutral,technology | environment | politics | entertainment | money
886,disgust | neutral,sports | technology | environment | crime | entertainment | money
887,fear | neutral,sports | environment | crime | entertainment | money
888,fear | neutral,technology | environment | crime | health | entertainment | money
889,sadness | neutral,technology | environment | entertainment | education | money
890,fear | neutral,environment | entertainment | money | technology
891,anger | sadness | neutral,sports | environment | politics | health | entertainment
892,anger | neutral,technology | crime | politics | environment | health | entertainment | education | money
893,neutral,technology | environment | crime | entertainment | money
894,sadness | neutral,environment | entertainment | money | technology
895,anger | fear | neutral,environment | entertainment | money | health
896,neutral,technology | environment | politics | entertainment | money
897,neutral,technology | environment | entertainment | education | money
898,sadness | joy | neutral,technology | crime | environment | entertainment | education | money
899,sadness | neutral,environment | entertainment | money | technology
900,anger | fear | neutral,technology | environment | politics | entertainment | money
901,neutral,sports | technology | crime | environment | health | entertainment | money
902,neutral,sports | technology | environment | entertainment | money
903,fear | neutral,environment | entertainment | money | technology
904,fear | neutral,environment | entertainment | money | health
905,anger | sadness | neutral,technology | environment | crime | entertainment | money
906,sadness | joy | neutral,technology | environment | politics | health | entertainment | money
907,neutral,technology | environment | crime | entertainment | money
908,fear | joy | neutral,technology | environment | health | entertainment | money
909,neutral,technology | environment | crime | entertainment | money
910,anger | fear | neutral,technology | environment | crime | entertainment | education | money
911,neutral,sports | technology | environment | crime | entertainment | money
912,disgust | neutral,technology | environment | politics | health | entertainment | education | money
913,fear | sadness | neutral,technology | environment | entertainment | education | money
914,neutral,technology | environment | crime | entertainment | money
915,neutral,technology | environment | crime | entertainment | money
916,fear | joy | neutral,sports | technology | environment | entertainment | money
917,sadness | neutral,technology | environment | crime | entertainment | money
918,sadness | fear | neutral,technology | environment | crime | politics | health | entertainment | money
919,joy | neutral,sports | technology | environment | politics | entertainment | money
920,sadness | neutral,environment | entertainment | money | technology
921,neutral,technology | environment | crime | entertainment | money
922,anger | surprise | neutral,technology | environment | health | entertainment | education | money
923,fear | neutral,sports | environment | crime | entertainment | education | money
924,neutral,technology | environment | entertainment | education | money
925,fear | joy | neutral,environment | entertainment | money | technology
926,neutral,technology | crime | environment | entertainment | money
927,anger | sadness | neutral,environment | crime | health | entertainment | education
928,anger | sadness | fear | neutral,technology | crime | environment | health | entertainment | education
929,disgust | fear | sadness | neutral,sports | environment | crime | health | entertainment | money
930,disgust | fear | sadness | neutral,environment | entertainment | health
931,fear | sadness | neutral,technology | environment | crime | health | entertainment | money
932,fear | sadness | joy | neutral | anger,sports | technology | crime | environment | health | entertainment | education
933,anger | sadness | neutral,sports | technology | crime | politics | environment | health | entertainment
934,sadness | neutral,technology | environment | crime | health | entertainment
935,surprise | neutral,environment | entertainment | money | crime
936,disgust | fear | sadness | neutral,technology | environment | crime | politics | health | entertainment
937,sadness | joy | neutral,technology | environment | crime | health | entertainment
938,neutral,technology | crime | environment | health | entertainment
939,disgust | sadness | surprise | joy | neutral,environment | entertainment | education | health
940,disgust | sadness | surprise | neutral,environment | crime | health | entertainment | education
941,joy | neutral,technology | environment | health | entertainment | money
942,sadness | neutral,sports | technology | politics | environment | crime | health | entertainment | education
943,anger | sadness | neutral,environment | entertainment | money | crime
944,sadness | neutral,technology | environment | crime | health | entertainment | money
945,disgust | fear | sadness | surprise | neutral,technology | environment | crime | health | entertainment
946,neutral,sports | technology | politics | environment | health | entertainment | education
947,disgust | sadness | neutral,technology | environment | crime | health | entertainment
948,anger | sadness | neutral,crime | entertainment | health | environment
949,anger | neutral,technology | politics | crime | environment | health | entertainment | education
950,sadness | surprise | neutral,technology | environment | crime | health | entertainment | money
951,anger | sadness | joy | neutral,environment | crime | health | entertainment | money
952,disgust | fear | sadness | neutral | anger,sports | technology | environment | health | entertainment | money
953,disgust | sadness | neutral,environment | politics | crime | health | entertainment | money
954,fear | neutral,environment | entertainment | politics | crime
955,disgust | sadness | fear | neutral,technology | crime | environment | health | entertainment | education
956,anger | sadness | fear | neutral,crime | entertainment | environment | health
957,disgust | sadness | joy | neutral | anger,technology | environment | crime | politics | health | entertainment
958,sadness | neutral,environment | entertainment | money | health
959,neutral,technology | crime | environment | health | entertainment
960,neutral,sports | environment | health | entertainment | education
961,anger | sadness | neutral,sports | technology | environment | crime | health | entertainment
962,anger | sadness | neutral,sports | technology | environment | crime | entertainment
963,disgust | sadness | neutral,technology | environment | health | entertainment | education
964,disgust | fear | neutral,sports | crime | politics | health | entertainment
965,disgust | sadness | neutral,sports | environment | crime | health | entertainment
966,disgust | sadness | surprise | neutral,technology | environment | crime | politics | health | entertainment
967,fear | sadness | joy | surprise | neutral | anger,sports | environment | crime | politics | health | entertainment
968,anger | sadness | neutral,environment | entertainment | technology | crime
969,fear | sadness | joy | neutral | anger,environment | politics | crime | health | entertainment | money
970,disgust | fear | sadness | neutral,sports | environment | crime | health | entertainment
971,sadness | fear | neutral,environment | entertainment | technology | health
972,fear | sadness | neutral,technology | environment | crime | health | entertainment | education
973,anger | sadness | neutral,technology | crime | environment | health | entertainment | education | money
974,disgust | sadness | surprise | neutral,sports | environment | crime | health | entertainment
